2016-09-15 17:11:33.9778	IDEAL PATH Gaze Factor	-0.0337772793752554	=	0.0337772793752554	*	-1	(http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/OutOfGameWindow)	2016-09-15 15:10:39.9880
2016-09-15 17:11:33.9778	IDEAL PATH Gaze Factor	-0.0233664740883616	=	0.0233664740883616	*	-1	(http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/OutOfGameWindow)	2016-09-15 15:10:40.8670
2016-09-15 17:11:33.9778	IDEAL PATH Gaze Factor	-0.0268367425173262	=	0.0268367425173262	*	-1	(http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/OutOfGameWindow)	2016-09-15 15:10:40.9840
2016-09-15 17:11:33.9778	IDEAL PATH Gaze Factor	-0.0307697134034861	=	0.0307697134034861	*	-1	(http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/OutOfGameWindow)	2016-09-15 15:10:41.2680
2016-09-15 17:11:33.9778	IDEAL PATH Gaze Factor	-0.0229037716311664	=	0.0229037716311664	*	-1	(http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/OutOfGameWindow)	2016-09-15 15:10:41.7360
2016-09-15 17:11:33.9778	IDEAL PATH Gaze Factor	-0.0349340355182436	=	0.0349340355182436	*	-1	(http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/OutOfGameWindow)	2016-09-15 15:10:41.8840
2016-09-15 17:11:33.9778	IDEAL PATH Gaze Factor	-0.0305383621748885	=	0.0305383621748885	*	-1	(http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/OutOfGameWindow)	2016-09-15 15:10:42.4010
2016-09-15 17:11:33.9778	IDEAL PATH Gaze Factor	-0.023135122859764	=	0.023135122859764	*	-1	(http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/OutOfGameWindow)	2016-09-15 15:10:42.5500
2016-09-15 17:11:33.9778	IDEAL PATH Gaze Factor	-0.0423372748333681	=	0.0423372748333681	*	-1	(http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/OutOfGameWindow)	2016-09-15 15:10:42.7000
2016-09-15 17:11:33.9778	IDEAL PATH Gaze Factor	-0.0303070109462908	=	0.0303070109462908	*	-1	(http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/OutOfGameWindow)	2016-09-15 15:10:42.9330
2016-09-15 17:11:33.9778	IDEAL PATH Gaze Factor	-0.026374040060131	=	0.026374040060131	*	-1	(http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/OutOfGameWindow)	2016-09-15 15:10:43.1180
2016-09-15 17:11:33.9788	IDEAL PATH Gaze Factor	-0.0231297712236641	=	0.0231297712236641	*	-1	(http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/OutOfGameWindow)	2016-09-15 15:10:43.3660
